image_id,preprocess_ms,forward_ms,post_ms,total_ms
15497,3.28,2311.84,0.17,2317.92
15517,3.33,2567.4,0.17,2574.48
15597,3.25,2653.64,0.19,2660.06
15660,2.69,2142.62,0.17,2148.07
15746,5.08,2265.73,0.17,2281.98
15751,3.07,2012.75,0.16,2018.59
15956,3.22,1765.74,0.16,1772.69
16010,3.19,2062.49,0.17,2069.23
16228,3.15,2512.13,0.16,2518.74
16249,2.44,2223.46,0.16,2228.2
16439,3.31,3019.7,0.16,3025.98
16451,4.5,2058.94,0.17,2067.65
16502,3.03,2310.11,0.16,2315.56
16598,3.67,2560.1,0.22,2567.81
16958,3.4,1933.59,0.19,1940.41
17029,4.47,1809.2,0.17,1818.91
17031,2.56,1770.49,0.15,1775.39
17115,3.34,2023.24,0.29,2031.76
17178,3.2,1978.96,0.2,1985.47
17182,3.12,2482.48,0.19,2488.48
17207,3.98,2109.9,0.19,2117.46
17379,3.48,3389.82,0.21,3397.09
17436,3.35,2431.63,0.18,2438.09
17627,3.32,1844.68,0.15,1851.75
17714,3.25,3391.93,0.21,3398.77
17899,3.49,3391.94,0.21,3399.88
17905,3.39,2137.56,0.17,2144.58
17959,3.07,2300.74,0.18,2306.8
18150,3.29,1888.41,0.18,1895.59
18193,3.45,3385.84,0.2,3392.36
18380,3.06,1763.5,0.16,1770.78
18491,3.04,2051.63,0.18,2057.38
18519,4.06,3397.24,0.19,3405.1
18575,3.91,1885.56,0.16,1893.0
18737,3.01,1846.41,0.18,1852.76
18770,3.05,2013.71,0.15,2019.53
18833,3.08,1801.5,0.16,1807.2
18837,3.27,2151.03,0.16,2158.1
19042,2.84,1889.86,0.15,1896.14
19109,3.83,1939.94,0.16,1947.91
19221,3.47,3387.46,0.21,3394.4
19402,3.46,2518.08,0.17,2525.11
19432,3.45,3392.89,0.21,3400.45
19742,2.72,1899.09,0.3,1904.26
19786,2.76,1806.95,0.21,1811.9
19924,2.91,1890.08,0.17,1895.27
20059,3.91,3395.82,0.27,3404.04
20107,2.54,1852.98,0.18,1857.82
20247,3.22,3388.81,0.21,3395.6
20333,3.14,1938.35,0.18,1944.5
20553,2.54,1843.66,0.17,1848.91
20571,3.64,1844.68,0.17,1852.46
20992,2.3,1890.24,0.2,1894.7
21167,3.21,2015.66,0.17,2021.34
21465,2.13,2051.74,0.17,2056.34
21503,3.28,2468.43,0.18,2474.77
21604,3.51,2009.56,0.17,2016.08
21839,3.85,2098.32,0.17,2106.14
21879,3.17,1887.8,0.15,1894.95
21903,3.62,2555.91,0.18,2563.37
22192,3.11,2472.76,0.16,2478.56
22371,2.06,2306.33,0.17,2309.86
22396,3.45,1805.45,0.16,1812.23
22479,4.14,2474.48,0.18,2481.71
22589,3.3,2012.28,0.17,2019.82
22623,3.25,1887.72,0.16,1894.1
22705,3.35,1974.15,0.18,1980.57
