image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,4.44,1254.14,0.17,1268.59
285,3.33,1389.32,0.23,1398.2
632,2.77,1465.61,0.24,1472.08
724,2.22,1219.53,0.19,1224.54
776,2.66,1244.25,0.18,1250.38
785,2.43,1328.0,0.2,1333.56
802,2.61,1247.96,0.17,1252.86
872,3.33,1410.3,0.33,1419.06
885,3.29,1214.44,0.19,1220.65
1000,3.1,1409.5,0.21,1417.4
1268,2.51,1355.23,0.21,1361.28
1296,2.54,1351.57,0.17,1357.24
1353,2.12,1187.27,0.18,1191.5
1425,2.75,1327.86,0.18,1333.14
1490,2.11,1271.29,0.16,1275.67
1503,1.45,1351.37,0.16,1353.9
1532,2.66,1270.66,0.17,1276.79
1584,3.09,1493.31,0.2,1499.81
1675,2.98,1301.6,0.16,1308.43
1761,2.61,1433.75,0.18,1439.11
1818,2.36,1216.09,0.17,1221.82
1993,2.39,1246.94,0.18,1252.11
2006,2.73,1241.33,0.16,1247.76
2149,2.36,1322.1,0.16,1326.64
2153,2.52,1269.27,0.16,1275.09
2157,2.46,1408.84,0.15,1414.11
2261,2.44,1462.36,0.15,1468.42
2299,1.79,1188.39,0.16,1192.06
2431,2.6,1191.24,0.31,1197.01
2473,2.63,1186.54,0.19,1191.94
2532,3.12,1186.0,0.18,1193.0
2587,2.06,1573.58,0.21,1578.54
2592,2.45,1216.14,0.19,1221.39
2685,3.59,1350.15,0.19,1358.7
2923,2.03,1242.57,0.16,1246.87
3156,2.61,1351.78,0.18,1357.04
3255,2.21,1195.32,0.18,1200.6
3501,3.24,1189.11,0.16,1195.87
3553,2.47,1353.66,0.18,1359.18
3661,2.23,1301.26,0.17,1305.98
3845,2.06,1278.59,0.16,1283.43
3934,3.18,1215.86,0.16,1221.97
4134,2.51,1324.53,0.18,1330.32
4395,2.6,1190.88,0.15,1196.04
4495,2.01,1447.87,0.16,1452.22
4765,3.19,1215.68,0.17,1222.4
4795,2.65,1327.42,0.17,1333.67
5001,2.63,1187.15,0.16,1193.47
5037,2.4,1196.34,0.16,1202.03
5060,2.8,1328.83,0.17,1335.09
5193,2.48,1213.48,0.15,1218.74
5477,2.15,1192.34,0.15,1197.16
5503,2.06,1329.23,0.17,1333.06
5529,2.73,1215.41,0.16,1221.93
5586,1.44,1189.71,0.15,1192.28
5600,2.12,1349.02,0.15,1353.86
5992,2.4,1245.21,0.16,1250.89
6012,2.91,1324.32,0.16,1330.91
6040,2.1,1188.5,0.14,1193.49
6213,2.39,1217.9,0.15,1222.87
6460,2.38,1302.75,0.16,1307.73
6471,1.98,1191.54,0.15,1195.7
6614,2.04,1189.64,0.14,1193.59
6723,2.18,1190.29,0.15,1195.7
6763,2.1,1195.55,0.17,1200.11
6771,2.5,1191.16,0.15,1196.79
6818,2.59,1215.69,0.15,1220.71
6894,2.54,1246.2,0.14,1251.77
6954,2.63,1194.65,0.17,1201.33
7088,2.84,1325.72,0.17,1332.66
7108,2.42,1353.96,0.15,1359.4
7278,2.58,1191.07,0.15,1198.32
7281,2.19,1222.22,0.14,1227.24
7386,2.37,1246.0,0.15,1251.63
7511,2.6,1468.17,0.15,1473.89
7574,2.61,1220.92,0.16,1226.96
7784,2.08,1258.72,0.17,1262.72
7795,2.51,1221.65,0.15,1227.38
7816,2.43,1191.29,0.14,1197.12
7818,2.43,1245.8,0.15,1250.92
7888,3.15,1193.75,0.16,1199.61
7977,2.61,1195.06,0.15,1201.4
7991,2.2,1436.08,0.15,1441.58
8021,2.61,1329.82,0.15,1335.92
8211,2.51,1224.4,0.22,1231.04
8277,3.93,1301.11,0.16,1309.04
8532,2.38,1188.03,0.15,1193.14
8629,3.17,1356.23,0.15,1363.63
8690,2.62,1251.73,0.32,1258.57
8762,2.71,1222.25,0.2,1227.33
8844,2.39,1356.41,0.2,1361.47
8899,2.85,1220.2,0.17,1227.76
9378,2.63,1219.01,0.2,1224.08
9400,3.15,1245.57,0.18,1251.74
9448,3.33,1187.88,0.16,1196.38
9483,2.76,1190.46,0.17,1196.21
9590,2.49,1550.56,0.2,1556.12
9769,2.72,1380.47,0.17,1388.3
9772,3.06,1378.86,0.17,1386.08
9891,2.6,1278.09,0.16,1283.88
9914,2.67,1299.23,0.16,1305.4
10092,2.42,1189.98,0.19,1195.53
10363,2.77,1406.08,0.17,1412.08
10583,3.08,1385.07,0.18,1392.15
10707,2.69,1223.03,0.17,1228.86
10764,2.43,1213.99,0.16,1219.93
10977,1.97,1190.81,0.15,1194.64
10995,2.58,1196.45,0.17,1201.51
11051,3.0,1219.37,0.15,1225.29
11122,2.64,1327.39,0.16,1334.13
11149,2.08,1188.15,0.14,1193.17
11197,2.43,1217.56,0.16,1223.36
11511,2.68,1188.57,0.16,1194.71
11615,2.7,1269.15,0.16,1274.67
11699,2.65,1216.07,0.15,1222.48
11760,2.45,1193.03,0.17,1199.61
11813,2.12,1241.14,0.16,1245.3
12062,2.39,1569.97,0.17,1576.07
12120,2.41,1188.57,0.15,1193.93
12280,2.66,1217.55,0.16,1223.67
12576,2.88,1409.1,0.16,1416.19
12639,2.72,1241.23,0.15,1248.32
12667,2.6,1186.35,0.14,1191.66
12670,2.4,1189.36,0.16,1195.22
12748,2.8,1245.21,0.15,1251.82
13004,2.11,1185.68,0.15,1190.51
13177,2.42,1273.61,0.15,1279.61
13201,2.51,1191.61,0.16,1197.41
13291,2.02,1435.65,0.16,1440.22
13348,2.47,1271.67,0.15,1277.46
13546,2.42,1190.99,0.16,1196.43
13597,2.4,1324.63,0.16,1329.77
13659,2.65,1488.03,0.14,1494.39
13729,2.59,1483.25,0.16,1488.75
13774,2.61,1435.89,0.16,1442.19
13923,2.55,1191.63,0.13,1197.58
14007,2.44,1187.12,0.14,1192.28
14038,2.38,1294.31,0.15,1300.04
14226,2.62,1246.45,0.15,1251.86
14380,2.54,1430.99,0.16,1437.09
14439,2.35,1349.95,0.15,1355.87
14473,2.41,1241.88,0.15,1247.38
14831,2.67,1193.97,0.16,1200.63
14888,2.67,1215.47,0.16,1221.84
15079,2.49,1409.76,0.21,1414.97
15254,2.72,1511.94,0.16,1517.63
15272,2.56,1191.84,0.16,1199.15
15278,2.7,1241.96,0.15,1248.06
15335,2.58,1188.85,0.3,1195.6
15338,2.58,1216.91,0.2,1223.04
15440,2.51,1353.54,0.19,1359.08
15497,2.7,1188.47,0.18,1193.84
15517,3.56,1327.6,0.18,1334.76
15597,2.56,1296.51,0.17,1302.42
15660,2.13,1191.33,0.18,1196.28
15746,2.62,1354.95,0.17,1361.22
15751,2.43,1188.53,0.17,1193.73
15956,2.7,1185.96,0.17,1192.35
16010,2.56,1219.31,0.18,1225.31
16228,2.53,1187.84,0.16,1193.73
16249,1.98,1186.1,0.16,1190.5
16439,2.57,1189.38,0.15,1194.7
16451,3.74,1216.3,0.17,1224.68
16502,2.26,1189.67,0.15,1194.25
16598,2.95,1244.95,0.16,1251.91
16958,2.4,1218.26,0.15,1223.87
17029,3.98,1740.03,0.2,1749.26
17031,1.99,1303.92,0.18,1308.34
17115,2.78,1191.28,0.16,1199.04
17178,2.51,1301.83,0.17,1307.67
17182,2.6,1220.68,0.17,1226.18
17207,2.75,1385.97,0.19,1391.95
17379,2.87,1222.67,0.18,1229.42
17436,2.85,1325.97,0.16,1332.08
17627,2.64,1334.83,0.18,1341.23
17714,2.89,1276.65,0.18,1283.14
17899,2.91,1326.84,0.17,1334.2
17905,2.78,1413.05,0.18,1419.72
17959,2.69,1248.59,0.19,1254.33
18150,2.85,1297.36,0.15,1304.0
18193,2.64,1245.74,0.17,1251.32
18380,2.54,1200.1,0.16,1206.81
18491,2.56,1330.66,0.19,1335.98
18519,2.96,1193.98,0.18,1200.89
18575,2.82,1243.97,0.16,1250.31
18737,2.46,1201.78,0.18,1207.57
18770,2.68,1327.54,0.18,1332.98
18833,2.56,1220.42,0.15,1225.86
18837,2.65,1221.39,0.17,1227.9
19042,2.39,1358.05,0.17,1363.91
19109,2.56,1302.83,0.17,1309.53
19221,3.02,1356.99,0.18,1362.93
19402,2.78,1434.5,0.17,1440.74
19432,2.69,1223.02,0.18,1229.6
19742,2.18,1192.61,0.17,1197.23
19786,2.19,1186.28,0.16,1190.76
19924,2.28,1469.61,0.18,1474.23
20059,2.6,1303.41,0.17,1309.75
20107,2.21,1196.49,0.16,1201.06
20247,2.64,1386.92,0.17,1392.84
20333,2.78,1326.53,0.17,1332.41
20553,1.99,1200.31,0.18,1204.94
20571,3.09,1304.93,0.18,1312.37
20992,2.07,1494.21,0.16,1498.57
21167,2.56,1199.51,0.26,1204.49
21465,2.25,1391.44,0.18,1396.45
21503,2.79,1276.0,0.16,1281.94
21604,2.91,1220.33,0.16,1226.25
21839,2.76,1389.33,0.32,1396.38
21879,2.65,1274.59,0.2,1281.18
21903,2.61,1190.68,0.18,1197.01
22192,2.4,1274.32,0.19,1279.23
22371,1.79,1357.59,0.19,1360.99
22396,3.56,1302.8,0.17,1309.59
22479,3.2,1331.8,0.17,1338.21
