image_id,preprocess_ms,forward_ms,post_ms,total_ms
29640,3.67,2736.34,0.23,2743.62
29675,4.11,1537.63,0.18,1545.73
29984,3.97,1604.59,0.16,1612.44
30213,3.71,1440.96,0.25,1448.97
30494,4.18,1871.02,0.18,1879.39
30504,4.08,1604.61,0.17,1612.93
30675,3.3,1443.25,0.31,1450.36
30785,4.24,1676.08,0.21,1684.5
30828,3.75,1441.39,0.22,1448.8
31050,3.84,1610.02,0.22,1617.74
31093,3.61,1446.15,0.2,1452.97
31118,3.71,1538.85,0.19,1546.47
31217,3.63,1604.61,0.21,1611.93
31248,2.92,1705.93,0.2,1711.22
31269,4.04,1607.77,0.19,1616.18
31296,3.63,1774.1,0.19,1781.45
31322,3.68,1513.31,0.22,1521.36
31620,4.92,1472.67,0.18,1482.03
31735,3.91,1535.76,0.17,1543.5
31749,5.79,1474.22,0.19,1485.39
31817,3.63,2069.39,0.22,2076.61
32038,3.11,2164.85,0.21,2170.26
32081,3.26,1539.98,0.2,1546.1
32285,3.82,1542.14,0.19,1548.87
32334,3.91,1676.33,0.17,1683.98
32570,3.63,1508.47,0.19,1515.86
32610,3.68,1503.98,0.19,1511.03
32735,3.61,1470.15,0.17,1476.76
32811,3.2,1637.85,0.19,1643.53
32817,4.09,1602.29,0.18,1609.97
32861,3.85,1470.13,0.19,1477.47
32887,3.91,1538.14,0.19,1545.8
32901,4.36,1540.07,0.17,1548.63
32941,3.92,1503.13,0.2,1510.81
33005,4.42,1536.28,0.17,1544.21
33104,3.41,1769.75,0.2,1776.45
33109,3.99,1474.79,0.3,1482.99
33114,4.29,2029.02,0.23,2036.91
33221,2.94,1538.86,0.21,1544.22
33368,3.9,1998.05,0.22,2004.74
33638,3.8,1901.98,0.23,1909.11
33707,4.63,1438.82,0.18,1447.71
33759,3.77,1601.03,0.2,1609.97
33854,3.65,1637.47,0.21,1644.79
34071,3.74,2498.42,0.25,2504.71
34139,3.92,1440.28,0.17,1447.68
34205,4.59,1570.83,0.2,1578.67
34257,2.92,1833.59,0.21,1839.43
34417,3.13,1767.55,0.19,1773.44
34452,4.21,1606.84,0.22,1615.22
34760,3.85,1737.22,0.18,1744.34
34873,3.91,2132.73,0.19,2139.67
35062,3.81,1935.83,0.2,1942.75
35197,3.91,1704.48,0.19,1711.12
35279,3.76,1537.93,0.18,1545.76
35326,3.94,1706.5,0.18,1713.76
35682,4.16,1568.39,0.18,1576.32
35770,4.07,1440.63,0.17,1447.82
35963,4.02,1543.85,0.19,1552.9
36494,3.8,1669.73,0.18,1676.63
36539,3.86,1904.23,0.19,1911.49
36660,2.9,1441.54,0.18,1447.15
36678,3.54,2065.93,0.22,2073.14
36844,3.94,1537.78,0.16,1544.74
36861,3.98,1608.45,0.18,1615.69
36936,3.63,2271.04,0.19,2277.86
37670,3.87,1506.92,0.19,1514.09
37689,3.77,2134.97,0.19,2142.11
37740,3.89,1736.13,0.17,1743.07
37751,3.97,1440.09,0.19,1448.1
37777,2.46,1439.07,0.24,1443.0
37988,4.3,1437.5,0.16,1444.77
38048,3.0,1503.59,0.18,1508.42
38070,3.03,1443.88,0.31,1449.45
38118,4.17,1443.36,0.21,1450.42
38210,3.78,1535.33,0.2,1542.44
38576,3.8,1476.96,0.21,1483.59
38678,4.11,1669.59,0.21,1677.53
38825,3.64,1470.63,0.19,1478.33
38829,3.65,2731.34,0.29,2738.87
39405,4.65,1472.85,0.19,1480.86
39477,4.19,1437.23,0.18,1445.37
39480,3.65,1873.11,0.21,1879.5
39484,3.87,1674.79,0.19,1681.92
39551,4.4,1504.94,0.17,1513.21
39670,4.92,1439.93,0.19,1451.11
39769,4.03,1570.9,0.18,1578.61
39785,3.07,1667.57,0.19,1673.5
39914,4.05,1514.94,0.19,1522.75
39951,3.84,1572.33,0.18,1579.08
39956,3.66,1606.31,0.17,1612.84
40036,3.64,1944.1,0.21,1951.77
40083,3.06,1735.57,0.18,1740.96
40471,3.81,1669.55,0.19,1677.39
40757,3.77,1608.64,0.19,1615.65
41488,3.49,1471.04,0.18,1477.01
41633,3.7,1537.57,0.17,1544.72
41635,3.83,1774.04,0.19,1781.29
41872,3.82,1735.83,0.18,1742.44
41888,3.9,1436.16,0.17,1444.71
41990,3.89,1475.57,0.19,1482.92
42070,4.33,1440.46,0.16,1449.33
42102,3.13,1470.79,0.17,1476.29
42178,4.01,1437.13,0.17,1445.88
42276,3.24,1775.58,0.2,1781.6
42296,3.78,1871.41,0.18,1879.03
42528,4.06,2205.87,0.2,2213.17
42563,4.8,1473.29,0.17,1482.61
42628,3.72,1770.94,0.18,1778.01
42888,3.09,1440.93,0.17,1447.14
42889,3.31,1939.84,0.25,1945.77
43314,3.56,1673.03,0.19,1679.38
43435,4.79,1440.69,0.33,1450.59
43581,4.22,1505.7,0.21,1512.8
43737,4.05,1503.2,0.21,1510.52
43816,3.58,2002.2,0.24,2009.17
44068,4.14,1505.6,0.19,1512.87
44195,3.17,1942.38,0.22,1948.34
44260,3.64,1742.99,0.21,1750.66
44279,3.83,1472.34,0.21,1479.61
44590,2.88,1903.2,0.19,1908.74
44652,3.59,1544.32,0.19,1550.36
44699,3.74,1440.79,0.19,1448.45
44877,4.44,1535.75,0.19,1543.8
45070,5.33,1772.93,0.2,1783.02
45090,2.81,1475.03,0.17,1479.82
45229,3.9,1772.54,0.19,1779.82
45472,3.63,1604.25,0.19,1612.0
45550,4.04,1669.55,0.18,1676.59
45596,4.1,1638.78,0.32,1646.12
45728,4.28,1606.77,0.23,1614.43
46031,3.96,1804.03,0.22,1811.9
46048,3.98,1636.68,0.2,1643.91
46252,3.91,1604.53,0.23,1613.16
46378,3.5,1771.44,0.19,1777.99
46463,3.21,1540.13,0.18,1546.05
46497,2.93,1806.86,0.2,1812.11
46804,4.01,1475.03,0.18,1483.94
46872,3.47,1639.35,0.18,1646.6
47010,3.92,1506.78,0.21,1514.7
47112,4.93,1834.42,0.2,1843.49
47121,3.93,1437.71,0.18,1444.6
47571,5.66,1440.58,0.19,1451.46
47585,3.82,1508.06,0.19,1515.42
47740,3.49,1509.24,0.19,1516.2
47769,3.16,1442.18,0.18,1447.63
47801,4.55,1639.9,0.18,1647.92
47819,3.23,1471.68,0.17,1478.47
47828,3.11,1668.81,0.18,1674.8
48153,3.06,1969.76,0.2,1976.48
48396,3.75,1441.17,0.17,1448.13
48504,3.62,1444.18,0.17,1451.3
48555,3.83,1481.29,0.18,1487.83
48564,3.89,1474.48,0.17,1481.35
48924,3.62,1441.59,0.17,1449.11
49060,3.61,1873.13,0.21,1880.32
49091,3.73,1837.66,0.19,1844.71
49259,4.03,1468.32,0.17,1476.72
49269,3.8,1502.89,0.16,1509.58
49759,4.13,1575.76,0.19,1584.06
49761,3.92,1573.72,0.17,1581.16
49810,3.61,2068.62,0.19,2075.75
50006,3.97,1471.44,0.17,1479.06
50145,2.84,1733.24,0.17,1737.74
50149,3.08,1668.14,0.2,1674.37
