image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,8.2,4117.58,0.24,4137.29
285,5.3,4113.32,0.28,4124.02
632,4.56,3763.08,0.36,3771.72
724,3.78,2940.91,0.22,2947.49
776,3.98,2238.22,0.18,2245.86
785,4.09,2937.32,0.2,2945.0
802,4.71,2337.63,0.18,2344.84
872,5.98,2838.11,0.19,2849.21
885,3.63,2791.91,0.17,2798.53
1000,3.93,4103.61,0.21,4112.58
1268,3.63,4097.47,0.47,4104.91
1296,4.47,3499.82,0.24,3507.72
1353,3.23,2891.73,0.21,2897.3
1425,4.42,2585.57,0.19,2592.83
1490,3.71,2997.78,0.22,3004.09
1503,2.38,2537.05,0.17,2540.65
1532,4.5,2736.4,0.2,2744.8
1584,5.06,2589.1,0.21,2597.57
1675,3.96,2335.65,0.17,2342.74
1761,3.75,2446.93,0.23,2453.55
1818,3.84,3350.88,0.37,3358.49
1993,4.03,2442.16,0.19,2449.02
2006,3.88,2340.1,0.19,2347.99
2149,3.59,4114.05,0.27,4120.03
2153,4.25,3049.78,0.21,3057.45
2157,4.4,2438.04,0.19,2446.36
2261,3.6,4111.44,0.34,4118.9
2299,3.28,2948.64,0.21,2954.1
2431,4.19,2788.0,0.21,2795.62
2473,3.55,2592.87,0.2,2599.33
2532,4.65,2740.72,0.18,2749.47
2587,3.08,2893.69,0.18,2899.63
2592,4.01,2792.53,0.17,2799.34
2685,4.9,4109.18,0.23,4119.93
2923,3.13,2340.78,0.19,2346.4
3156,4.0,2540.05,0.18,2547.12
3255,3.31,2539.9,0.19,2546.37
3501,4.53,2488.31,0.17,2496.47
3553,3.64,4107.35,0.19,4114.27
3661,3.47,4106.77,0.28,4113.13
3845,3.4,3395.04,0.31,3401.79
3934,3.57,3041.34,0.22,3047.81
4134,3.61,3141.02,0.23,3147.98
4395,3.83,2283.11,0.18,2289.47
4495,3.02,2235.43,0.19,2241.01
4765,4.48,3748.19,0.17,3756.25
4795,5.06,2738.02,0.19,2746.87
5001,4.01,4108.21,0.22,4116.24
5037,4.68,2437.64,0.18,2446.73
5060,4.47,2689.86,0.19,2697.97
5193,3.61,3049.62,0.22,3056.16
5477,3.45,2441.44,0.2,2447.84
5503,3.21,2889.68,0.18,2894.79
5529,4.02,2537.49,0.18,2545.43
5586,2.39,2286.47,0.18,2290.18
5600,3.36,2998.01,0.21,3004.41
5992,3.73,3809.67,0.28,3817.1
6012,4.52,2286.61,0.18,2295.16
6040,3.24,2497.62,0.17,2503.85
6213,3.62,2589.15,0.19,2595.56
6460,3.56,3455.11,0.31,3461.49
6471,3.27,2392.54,0.19,2398.19
6614,3.13,3459.0,0.2,3464.34
6723,3.43,2442.88,0.2,2449.79
6763,3.27,2594.21,0.18,2600.25
6771,3.64,3606.43,0.24,3613.29
6818,3.81,2791.37,0.18,2797.91
6894,3.78,2593.16,0.18,2600.13
6954,3.93,2642.82,0.2,2650.98
7088,3.9,2288.26,0.18,2296.25
7108,4.23,3707.84,0.21,3715.53
7278,3.93,2488.42,0.17,2497.16
7281,3.33,3402.79,0.21,3409.22
7386,4.07,3098.01,0.18,3105.94
7511,3.97,2389.03,0.17,2396.97
7574,3.93,2541.1,0.18,2548.61
7784,3.13,2391.09,0.17,2396.42
7795,3.78,3197.56,0.19,3204.84
7816,3.61,2695.19,0.19,2702.22
7818,3.63,3505.9,0.18,3512.22
7888,6.01,2538.78,0.16,2547.63
7977,3.81,2742.12,0.18,2749.92
7991,3.36,2591.51,0.18,2598.36
8021,3.87,2446.43,0.19,2454.11
8211,3.81,3604.29,0.17,3612.56
8277,4.41,3250.25,0.18,3258.75
8532,3.61,2644.07,0.18,2650.69
8629,4.69,4010.08,0.19,4019.46
8690,3.85,2766.98,0.24,2775.2
8762,3.96,3504.59,0.22,3511.13
8844,3.77,3757.09,0.29,3763.79
8899,4.47,2904.93,0.21,2914.27
9378,3.49,2646.6,0.21,2652.69
9400,3.93,3506.47,0.22,3513.51
9448,4.43,3402.94,0.24,3412.71
9483,4.03,3507.18,0.18,3514.46
9590,3.76,4109.83,0.22,4116.94
9769,3.9,2751.49,0.19,2760.49
9772,4.48,2494.03,0.19,2502.97
9891,4.17,3298.25,0.22,3305.87
9914,3.88,2747.01,0.17,2754.33
10092,4.3,2538.73,0.18,2546.49
10363,3.29,4110.42,0.22,4116.36
10583,5.22,2642.37,0.18,2652.56
10707,3.97,2693.52,0.18,2700.81
10764,3.61,3708.88,0.21,3716.04
10977,3.15,4114.87,0.21,4120.0
10995,3.84,2237.27,0.16,2243.79
11051,4.17,2692.45,0.19,2699.64
11122,3.98,2338.13,0.18,2346.55
11149,3.05,2646.22,0.17,2652.3
11197,3.75,2238.91,0.16,2246.26
11511,3.75,2744.26,0.18,2751.63
11615,4.01,3347.57,0.19,3354.73
11699,3.97,2445.48,0.19,2453.4
11760,3.71,3096.19,0.18,3104.47
11813,3.09,2748.9,0.22,2754.24
12062,3.95,4115.56,0.24,4123.71
12120,3.8,4118.23,0.36,4125.71
12280,4.42,2645.38,0.2,2653.34
12576,3.94,4117.8,0.21,4126.17
12639,4.08,2592.31,0.21,2600.9
12667,3.98,4121.15,0.24,4128.31
12670,3.82,4129.29,0.25,4136.93
12748,4.18,3453.41,0.21,3461.43
13004,3.34,3524.86,0.21,3531.15
13177,3.97,3976.44,0.21,3984.43
13201,4.06,2704.06,0.2,2711.58
13291,3.91,2397.23,0.19,2403.8
13348,3.97,2598.54,0.18,2606.36
13546,3.82,3111.6,0.18,3118.6
13597,3.64,2392.2,0.17,2398.43
13659,3.91,2239.08,0.16,2246.87
13729,3.77,2240.04,0.18,2247.02
13774,3.99,2389.94,0.17,2397.71
13923,3.58,3811.16,0.18,3818.14
14007,3.67,3964.38,0.18,3971.01
14038,3.73,3107.72,0.17,3115.06
14226,3.95,2394.19,0.17,2401.29
14380,3.59,2236.25,0.16,2243.45
14439,3.48,3508.49,0.18,3515.67
14473,3.79,2601.16,0.23,2608.32
14831,4.73,2591.17,0.17,2599.99
14888,3.85,2296.44,0.2,2304.18
15079,3.76,4111.76,0.37,4118.48
15254,3.97,2342.53,0.19,2349.43
15272,3.84,2599.05,0.2,2607.92
15278,3.88,4112.54,0.26,4120.11
15335,3.94,3199.32,0.21,3207.43
15338,3.75,2744.12,0.2,2751.68
15440,3.73,2388.01,0.17,2394.84
15497,3.89,3098.61,0.2,3105.37
15517,3.99,3758.66,0.19,3766.43
15597,4.08,3150.22,0.2,3157.76
15660,3.45,4118.92,0.22,4125.42
15746,4.62,2391.17,0.2,2400.09
15751,3.56,3149.05,0.21,3155.68
15956,5.01,2940.87,0.16,2949.74
16010,3.79,2346.55,0.19,2353.93
16228,3.71,3959.76,0.22,3967.08
16249,3.13,3603.86,0.19,3609.5
16439,3.89,3151.69,0.19,3158.63
16451,5.07,2543.15,0.17,2552.41
16502,3.33,2592.82,0.17,2598.55
16598,3.88,2642.42,0.19,2650.48
16958,3.74,4108.78,0.18,4115.85
17029,5.15,3306.87,0.21,3317.47
17031,3.0,3563.8,0.25,3569.27
17115,4.15,3867.19,0.22,3876.58
17178,3.83,2998.01,0.28,3005.61
17182,3.95,2189.93,0.19,2196.89
17207,3.96,3400.25,0.23,3407.42
17379,3.93,3961.88,0.24,3969.7
17436,4.06,3353.29,0.22,3360.75
17627,3.98,2489.22,0.18,2497.11
17714,3.82,3199.84,0.2,3207.23
17899,4.03,3452.34,0.21,3461.03
17905,4.08,2286.37,0.18,2294.41
17959,3.84,4108.95,0.23,4115.92
18150,3.92,2689.74,0.19,2697.69
18193,3.82,2240.32,0.17,2247.04
18380,4.23,3096.95,0.18,3105.82
18491,4.53,4106.17,0.22,4113.51
18519,4.31,4007.85,0.22,4016.21
18575,3.93,2487.6,0.17,2495.14
18737,3.71,2539.92,0.17,2546.98
18770,3.54,2644.33,0.19,2650.56
18833,3.61,3093.18,0.18,3099.58
18837,3.86,2238.54,0.17,2246.29
19042,3.45,3498.14,0.17,3505.25
19109,3.72,2494.6,0.17,2502.53
19221,3.97,2941.54,0.19,2948.43
19402,3.82,2596.43,0.18,2603.83
19432,4.0,2743.99,0.22,2752.23
19742,3.3,2590.24,0.17,2596.04
19786,3.04,3502.97,0.21,3508.23
19924,3.56,2744.83,0.3,2751.05
20059,3.98,2290.53,0.21,2298.52
