image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,6.6,705.83,0.15,740.22
285,4.85,652.28,0.13,663.32
632,3.81,652.1,0.12,659.45
724,3.04,819.38,0.17,824.91
776,3.75,652.29,0.16,659.7
785,3.55,651.21,0.23,657.85
802,4.46,734.89,0.16,741.72
872,4.45,983.66,0.18,993.35
885,3.47,680.67,0.17,686.99
1000,3.81,790.11,0.15,798.7
1268,3.47,819.73,0.16,826.75
1296,3.59,788.79,0.16,795.57
1353,2.98,1179.52,0.16,1184.64
1425,4.09,651.91,0.14,658.5
1490,2.92,707.75,0.14,712.8
1503,2.26,708.48,0.14,711.84
1532,4.18,652.9,0.14,660.7
1584,4.36,678.94,0.14,686.64
1675,3.7,706.74,0.13,713.18
1761,3.55,650.97,0.13,657.36
1818,3.36,653.08,0.15,659.83
1993,3.37,650.37,0.14,656.57
2006,3.6,823.19,0.15,830.37
2149,4.0,761.92,0.14,768.31
2153,3.62,735.63,0.14,742.69
2157,3.44,929.36,0.15,935.88
2261,3.35,679.04,0.14,685.96
2299,2.64,788.81,0.13,793.36
2431,3.67,655.77,0.17,662.76
2473,3.71,737.34,0.17,743.94
2532,3.95,653.38,0.13,661.07
2587,2.81,704.76,0.13,709.99
2592,3.16,649.23,0.13,654.9
2685,3.99,961.1,0.27,969.91
2923,4.14,762.82,0.16,769.29
3156,3.65,654.89,0.16,661.38
3255,3.22,762.9,0.15,769.3
3501,4.4,819.9,0.16,828.25
3553,3.42,849.24,0.15,855.72
3661,3.43,791.2,0.14,797.34
3845,2.92,789.12,0.14,794.99
3934,2.97,930.82,0.18,936.57
4134,3.55,707.31,0.16,714.26
4395,3.58,927.86,0.15,933.91
4495,2.86,707.72,0.14,713.03
4765,6.04,789.98,0.14,799.82
4795,3.81,1096.48,0.15,1103.84
5001,3.79,820.6,0.16,828.12
5037,3.51,816.02,0.14,822.96
5060,3.72,788.32,0.15,795.44
5193,3.36,649.33,0.13,655.57
5477,2.99,705.95,0.14,711.75
5503,3.3,735.43,0.14,740.79
5529,3.68,875.75,0.16,883.16
5586,2.23,818.85,0.15,822.3
5600,3.12,706.15,0.13,712.04
5992,3.41,761.58,0.13,768.28
6012,3.96,677.02,0.14,684.65
6040,3.06,734.64,0.13,740.68
6213,3.4,654.15,0.14,660.2
6460,3.39,933.57,0.14,939.59
6471,2.77,958.91,0.2,963.96
6614,3.12,790.84,0.14,796.19
6723,3.1,791.06,0.17,797.42
6763,3.15,874.46,0.13,880.06
6771,3.45,822.3,0.26,828.83
6818,4.2,655.62,0.17,662.8
6894,3.92,766.75,0.16,773.87
6954,3.65,956.86,0.17,964.72
7088,3.81,876.27,0.16,884.19
7108,3.42,1181.79,0.17,1188.5
7278,3.63,877.15,0.17,885.56
7281,3.57,848.63,0.16,855.15
7386,3.27,1069.45,0.16,1076.18
7511,3.69,651.59,0.13,658.64
7574,3.68,678.94,0.15,686.04
7784,2.85,761.68,0.13,766.59
