image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,9.78,2620.61,4.99,2652.82
285,8.1,2889.87,5.96,2910.42
632,6.89,2872.29,5.95,2888.8
724,5.78,2521.01,5.03,2534.35
776,6.41,2931.37,5.88,2947.59
785,6.03,2571.75,5.25,2586.16
802,6.4,2762.76,5.49,2777.04
872,8.48,3315.38,6.25,3335.85
885,6.14,2598.51,4.73,2612.38
1000,6.84,3211.5,5.86,3230.11
1268,6.04,2633.06,4.8,2647.96
1296,6.24,2693.05,4.84,2707.28
1353,5.2,2684.49,4.8,2696.6
1425,6.41,2640.73,4.53,2654.26
1490,5.06,2507.24,4.48,2518.91
1503,3.64,2868.39,5.34,2878.37
1532,7.77,2848.97,5.0,2866.05
1584,7.16,2522.18,4.56,2537.5
1675,6.06,2680.01,4.79,2694.17
1761,6.09,2693.0,4.83,2706.6
1818,5.63,2976.61,5.56,2991.27
1993,5.88,2908.67,4.63,2921.96
2006,6.37,2927.18,5.1,2942.2
2149,5.8,2963.51,5.31,2976.83
2153,6.09,2579.97,4.8,2594.24
2157,6.79,2673.17,4.79,2688.07
2261,5.44,2640.18,4.7,2653.83
2299,4.57,3029.4,5.56,3041.5
2431,6.3,2635.81,4.69,2650.44
2473,5.8,2572.9,4.64,2585.94
2532,6.49,2682.11,4.79,2697.18
2587,4.87,2634.97,4.72,2646.9
2592,5.29,2453.98,4.41,2466.42
2685,6.92,2521.08,4.53,2537.73
2923,4.97,2910.25,5.5,2923.1
3156,6.2,2873.77,5.31,2888.13
3255,6.03,3313.82,5.9,3328.82
3501,7.53,2990.48,5.31,3007.33
3553,5.75,2870.19,5.13,2884.19
3661,5.62,2684.54,4.78,2697.9
3845,4.94,2935.14,5.0,2947.8
3934,5.24,2678.61,4.77,2691.42
4134,5.58,2647.07,4.69,2660.45
4395,6.17,2797.45,4.98,2811.24
4495,4.76,3268.5,4.88,3280.45
4765,7.53,2871.94,5.36,2888.81
4795,6.12,2513.72,4.48,2527.97
5001,6.25,2535.8,4.58,2550.9
5037,5.98,2742.73,4.99,2757.16
5060,7.26,3165.77,5.5,3182.65
5193,5.85,2849.81,5.28,2863.68
5477,5.24,2754.38,4.93,2767.38
5503,5.18,3093.21,5.51,3105.64
5529,6.52,2801.39,5.26,2817.31
5586,4.13,2883.02,5.14,2893.45
5600,5.39,2733.25,4.79,2746.48
5992,5.54,2922.94,5.2,2937.02
6012,6.52,2467.0,4.43,2481.83
6040,5.15,2527.9,4.52,2540.7
6213,5.73,2971.12,5.3,2984.83
6460,6.03,2914.37,5.18,2928.37
6471,4.75,2520.61,4.53,2532.07
6614,5.21,2763.8,4.62,2775.68
6723,5.3,3038.47,5.48,3052.56
6763,5.56,2964.66,5.4,2978.11
6771,6.17,2757.99,4.81,2771.95
6818,6.65,2848.86,5.1,2863.62
6894,6.15,2803.89,5.06,2818.23
6954,6.61,2689.89,5.02,2705.91
7088,6.46,3420.59,6.1,3437.53
7108,5.85,2704.0,4.79,2717.8
7278,6.08,2562.32,4.58,2577.88
7281,5.02,2875.98,5.1,2888.8
7386,5.48,2678.51,4.97,2692.44
7511,6.04,2525.26,4.6,2539.15
7574,6.05,3492.14,6.31,3507.96
7784,5.02,2454.69,4.4,2466.14
7795,5.61,2580.5,4.62,2593.78
7816,5.78,2850.16,5.07,2864.33
7818,5.97,2581.76,4.64,2594.84
7888,8.73,2508.31,4.47,2524.24
7977,5.91,3090.91,5.51,3106.2
7991,5.24,2680.56,5.11,2694.24
8021,6.23,2577.18,4.62,2591.98
8211,5.98,2514.5,4.62,2529.33
8277,7.56,2976.15,5.09,2992.94
8532,6.22,2920.7,5.36,2935.42
8629,8.04,2681.31,4.89,2698.8
8690,5.95,2755.28,4.82,2770.35
8762,5.8,3078.04,5.47,3091.69
8844,5.52,2870.82,5.12,2884.25
8899,6.76,2853.65,5.33,2870.64
9378,5.48,2693.17,4.79,2705.97
9400,6.0,2921.75,5.51,2936.12
9448,7.16,2738.9,4.78,2756.4
9483,5.96,2750.12,4.91,2764.02
9590,5.76,2788.66,4.78,2802.31
9769,5.83,2469.84,4.56,2485.41
9772,6.9,2736.84,4.85,2752.98
9891,5.8,2580.67,4.61,2594.18
9914,6.06,2798.0,5.1,2812.83
10092,5.73,2518.71,4.53,2532.23
10363,5.64,2456.13,4.5,2468.84
10583,7.45,2864.94,5.12,2881.91
10707,5.93,2631.07,4.69,2644.93
10764,5.69,3142.49,5.74,3157.44
10977,4.88,2702.37,4.95,2713.95
10995,6.43,2509.08,4.52,2522.73
11051,6.63,3271.87,5.94,3287.14
11122,6.67,2562.79,4.65,2578.59
11149,4.78,3153.43,5.6,3166.65
11197,5.8,2801.33,5.02,2816.55
11511,5.81,2857.26,5.1,2871.77
11615,6.17,2586.95,4.63,2600.6
11699,6.27,2963.39,5.28,2978.95
11760,5.42,2753.87,4.94,2768.37
11813,5.16,2790.47,5.14,2803.03
12062,5.8,2635.9,4.73,2650.49
12120,5.61,2972.68,5.31,2986.69
12280,6.34,2625.88,4.71,2640.6
12576,6.36,3144.89,5.6,3161.15
12639,6.22,2787.68,4.97,2803.52
12667,5.82,2688.41,4.81,2701.8
12670,5.63,2790.09,4.88,2804.01
12748,5.94,3317.56,5.93,3333.06
13004,5.19,2858.98,5.11,2871.92
13177,5.63,3250.31,5.11,3264.7
13201,6.13,2916.04,5.2,2930.57
13291,4.83,2848.38,5.29,2860.9
13348,6.29,3373.03,6.01,3388.65
13546,5.67,2687.19,4.8,2700.74
13597,5.64,2450.1,4.4,2462.86
13659,5.96,3204.83,5.5,3220.04
13729,6.03,2729.31,4.76,2743.15
13774,5.78,2803.81,4.84,2817.91
13923,5.89,3425.49,6.12,3441.09
14007,5.89,2919.78,5.34,2934.09
14038,6.24,2868.44,5.13,2883.16
14226,6.15,2791.93,5.08,2807.0
14380,5.49,2927.29,5.22,2941.61
14439,5.61,2795.02,4.99,2809.24
14473,5.64,2860.79,4.63,2874.37
14831,6.3,2857.99,5.12,2873.4
14888,6.04,2569.98,4.41,2584.22
15079,5.72,2635.01,4.69,2648.44
15254,5.77,2681.26,4.78,2694.75
15272,6.36,2520.0,4.85,2536.09
15278,6.12,2507.8,4.47,2522.4
15335,5.9,2979.79,5.34,2995.2
15338,5.79,2563.38,4.56,2577.55
15440,5.77,2520.52,4.49,2533.57
15497,6.09,2501.42,4.46,2514.94
15517,5.78,2979.7,5.29,2994.48
15597,6.11,2621.15,4.59,2635.23
15660,4.98,2688.32,4.81,2700.82
15746,6.27,2571.65,4.62,2586.27
15751,5.74,2910.56,5.21,2924.28
15956,5.85,2515.46,4.77,2529.87
16010,6.63,2452.38,4.4,2467.14
16228,5.65,2452.78,4.39,2466.22
16249,4.9,2627.69,4.72,2639.69
16439,6.02,2631.28,4.7,2644.95
16451,7.51,2679.57,4.84,2696.19
16502,5.19,2580.34,4.51,2592.29
16598,6.44,2621.51,4.44,2636.49
16958,5.84,3552.05,6.33,3567.45
17029,8.36,3661.48,6.99,3682.45
17031,5.45,2965.16,5.3,2978.36
17115,6.09,3038.26,5.4,3055.47
17178,5.75,3089.97,4.42,3103.61
17182,5.75,2683.41,4.61,2696.71
17207,5.97,2688.78,5.22,2703.14
17379,6.42,2694.54,4.8,2709.57
17436,6.24,2753.35,4.99,2767.59
17627,6.48,2568.62,4.62,2583.65
17714,5.93,2925.37,6.61,2941.49
17899,6.35,2505.92,4.49,2521.52
17905,6.11,2582.0,4.64,2596.5
17959,5.74,2560.81,4.39,2574.02
18150,5.83,2987.89,5.3,3002.99
18193,6.03,2627.34,4.72,2641.13
18380,5.91,2459.19,4.4,2473.86
18491,5.69,2454.54,4.42,2467.37
18519,6.86,2584.49,4.62,2599.99
18575,5.93,3440.83,6.19,3456.47
18737,5.62,2858.36,4.98,2872.24
18770,5.65,2863.85,11.64,2883.87
18833,9.15,2851.78,5.26,2869.43
18837,6.52,2863.37,4.79,2878.67
19042,5.16,2521.62,4.56,2534.74
19109,6.11,2742.62,4.9,2757.93
19221,5.97,2861.9,5.26,2875.94
19402,6.27,2623.15,4.7,2637.76
19432,5.75,2631.16,4.4,2645.25
19742,4.85,2622.97,4.72,2634.82
19786,5.07,2690.51,4.84,2702.58
19924,5.62,2793.24,5.16,2806.49
20059,6.11,2988.34,5.33,3003.52
20107,5.1,2452.91,4.56,2464.78
20247,6.1,2631.19,4.62,2646.09
20333,6.15,2680.85,5.15,2695.04
20553,5.02,3080.79,5.32,3093.87
20571,7.05,2514.07,4.54,2530.14
20992,4.82,2628.33,4.68,2640.11
21167,6.06,2865.42,5.21,2879.04
21465,4.83,2507.38,4.49,2519.38
21503,6.0,2462.45,4.41,2475.86
21604,6.53,2624.17,4.79,2638.62
21839,6.09,2866.8,5.06,2882.05
21879,5.57,3026.41,5.39,3041.24
21903,5.99,2910.64,5.19,2925.84
22192,5.55,2576.17,4.42,2588.68
22371,4.35,3026.15,5.39,3037.25
22396,6.24,3322.51,5.88,3337.76
22479,7.65,3252.06,5.8,3268.7
22589,5.95,2744.64,4.9,2759.78
22623,6.02,3090.12,5.53,3104.49
22705,6.32,3017.56,5.28,3032.07
22755,6.62,3262.62,5.8,3278.49
22892,4.7,2914.98,5.26,2927.21
22935,6.15,2683.53,4.8,2697.77
22969,4.88,3145.38,5.0,3158.09
23023,7.36,2459.36,4.38,2474.44
23034,5.61,2629.53,4.73,2644.06
23126,5.75,2685.12,4.82,2698.24
23230,7.18,2694.5,4.81,2712.56
23272,5.07,2794.65,5.11,2807.53
23359,6.26,2863.05,5.1,2876.49
23666,6.34,2855.93,5.12,2871.62
23751,6.18,2852.35,4.62,2866.37
23781,5.6,3086.71,5.52,3101.01
23899,5.71,3190.12,5.71,3204.21
23937,5.57,3034.85,5.17,3049.26
24021,5.48,2746.23,5.05,2759.0
24027,4.97,2851.37,5.09,2863.87
24144,5.84,3434.76,5.9,3451.54
24243,6.01,2574.79,4.62,2589.86
24567,6.34,2584.52,4.62,2599.63
24610,6.13,2741.02,4.8,2754.93
24919,5.65,2701.66,5.01,2715.99
25057,5.76,2805.21,4.81,2819.52
25096,5.14,2693.62,4.8,2706.15
25139,4.65,3434.7,6.23,3447.95
25181,5.83,2510.3,4.39,2523.59
25228,5.62,2688.78,4.41,2702.14
25386,6.45,2519.08,4.48,2533.73
25393,5.89,2695.99,4.9,2710.03
25394,6.98,3083.72,5.75,3099.59
25424,6.19,2631.94,4.67,2645.73
25560,6.28,2808.4,4.95,2822.47
25593,6.09,2684.96,4.79,2701.11
25603,5.97,2629.75,4.72,2644.43
25986,6.15,2852.82,5.07,2867.98
26204,5.61,2810.2,5.02,2824.62
26465,5.18,2909.67,5.09,2922.21
26564,5.73,2519.58,4.55,2532.51
26690,6.78,2507.04,4.48,2521.67
26926,5.97,2804.08,5.06,2818.07
26941,5.62,2505.9,4.73,2520.76
27186,5.54,2578.28,4.59,2590.81
27620,5.99,2866.04,5.37,2880.49
27696,5.79,2511.84,4.48,2525.46
27768,7.81,2749.16,4.73,2765.64
27932,4.16,3023.65,5.22,3034.58
27972,5.71,3207.52,5.69,3222.36
27982,4.71,2794.08,4.86,2805.62
28285,5.6,2750.95,4.88,2765.25
28449,5.67,2632.11,4.69,2645.81
28452,6.41,3092.96,5.48,3108.85
