idx,preprocess_ms,forward_ms,post_ms
0,14.078914642333984,2269.946044921875,6.169440269470215
1,9.68901252746582,1765.0465087890625,5.134584426879883
2,7.2848687171936035,1952.19287109375,5.712106704711914
3,5.959447383880615,1684.8218994140625,4.942759990692139
4,6.117831707000732,1719.8724365234375,4.768324851989746
5,6.710628032684326,1685.2537841796875,5.1019287109375
6,6.673585414886475,2179.742431640625,6.326222896575928
7,8.010923385620117,2439.49462890625,6.564970970153809
8,6.349360466003418,1765.4521484375,4.911962985992432
9,7.224015712738037,2484.498779296875,6.584385395050049
10,5.91856050491333,1757.8341064453125,4.7255401611328125
11,6.090983867645264,1735.4339599609375,4.682729244232178
12,5.7418532371521,2291.336181640625,6.273608684539795
13,8.03745174407959,1688.68505859375,4.423819541931152
14,5.012403964996338,1758.6600341796875,4.723137378692627
15,3.9325766563415527,2249.164306640625,6.0091166496276855
16,6.049066543579102,1836.27490234375,4.6355462074279785
17,7.644452095031738,1685.096435546875,4.539871692657471
18,6.91385555267334,1949.74609375,5.219182014465332
19,6.4950714111328125,1839.5469970703125,5.0515289306640625
20,6.159717082977295,1686.00048828125,4.511136531829834
21,5.428869247436523,1725.0665283203125,5.041308879852295
22,7.10244083404541,1758.291015625,4.628317356109619
23,5.409388065338135,1645.3870849609375,4.400322437286377
24,5.901083469390869,1688.138916015625,4.532327651977539
25,5.508793354034424,1874.5054931640625,4.802571773529053
26,6.30744743347168,2021.0782470703125,5.275257110595703
27,4.516611099243164,2403.18603515625,6.526755332946777
28,6.970262050628662,2062.533447265625,5.480121612548828
29,5.770426273345947,1754.83447265625,4.440186500549316
30,6.133211612701416,2211.119873046875,5.908541202545166
31,4.709968566894531,1869.2574462890625,4.990907192230225
32,5.336512088775635,1729.039306640625,4.64951229095459
33,7.222142219543457,1794.6917724609375,4.799684524536133
34,4.75261926651001,1641.46435546875,4.4168009757995605
35,6.677152633666992,1647.783935546875,4.4387688636779785
36,5.041690349578857,1756.7369384765625,4.727952003479004
37,7.595948696136475,1643.3056640625,4.481207370758057
38,5.7865753173828125,1805.8992919921875,5.035454273223877
39,5.820788383483887,1682.5260009765625,4.506534099578857
40,4.790628433227539,1794.0311279296875,4.595704555511475
41,9.176406860351562,1917.14404296875,5.1179399490356445
42,5.493556976318359,1794.5771484375,4.598254203796387
43,5.865262985229492,1769.46826171875,4.69396448135376
44,4.736231803894043,1868.9610595703125,4.882966995239258
45,7.050631523132324,1983.2794189453125,5.288107395172119
46,5.814194679260254,2098.26513671875,5.189124584197998
47,5.940556526184082,1643.8642578125,4.338797092437744
48,6.011664867401123,1833.712158203125,4.895813941955566
49,6.603909492492676,1803.0736083984375,4.682153701782227
50,5.504965782165527,1794.131103515625,4.791673183441162
51,5.046874046325684,1915.0086669921875,5.157662391662598
52,5.212578773498535,2174.926513671875,5.796076774597168
53,6.453125,2288.123291015625,5.82417106628418
54,4.159983158111572,2175.7060546875,5.164247035980225
55,5.102149963378906,1681.9739990234375,4.496805191040039
56,5.464956283569336,1834.560302734375,4.899561405181885
57,6.366588115692139,1606.2059326171875,4.311762809753418
58,4.87172794342041,1944.5489501953125,5.184549808502197
59,5.3536200523376465,1834.130859375,4.9001312255859375
60,5.59555196762085,1946.4403076171875,4.5172553062438965
61,4.551213264465332,1718.2718505859375,4.597719669342041
62,4.771141529083252,1720.3428955078125,4.5834574699401855
63,5.011063098907471,1679.24658203125,4.521759033203125
64,4.868712425231934,1718.3505859375,4.480691432952881
65,6.3637847900390625,1682.650390625,4.56020975112915
66,5.943605899810791,1756.4580078125,4.681490421295166
67,5.920477390289307,2209.392822265625,5.800647735595703
68,5.7954230308532715,2244.957275390625,5.576355457305908
69,6.31955099105835,1719.243896484375,4.630898952484131
70,5.46289587020874,2213.143798828125,5.499685287475586
71,6.3600335121154785,1643.38720703125,4.428226470947266
72,5.114162445068359,1645.12158203125,4.430925369262695
73,5.180496692657471,1720.456787109375,4.404481410980225
74,5.925713062286377,1679.6019287109375,4.559350967407227
75,5.6660566329956055,1983.3892822265625,5.291355609893799
76,4.801957130432129,2284.076416015625,6.043687343597412
77,5.449464321136475,1680.101318359375,4.491180419921875
78,5.304856300354004,1831.537353515625,4.782196044921875
79,5.608757972717285,2022.344970703125,5.396505832672119
80,7.983477592468262,1681.944580078125,4.498101711273193
81,6.284445762634277,1794.9481201171875,4.824394226074219
82,5.076548099517822,2093.97607421875,5.41112756729126
83,5.858527660369873,1869.18310546875,5.047239303588867
84,5.7656354904174805,2135.7734375,5.671112060546875
85,7.0449299812316895,1795.0794677734375,4.820046901702881
86,6.0575175285339355,1646.872314453125,4.436088562011719
87,8.25060749053955,2623.427001953125,6.9645586013793945
88,5.85014009475708,1767.095703125,4.722818851470947
89,5.552120685577393,1680.7548828125,4.404600620269775
90,5.553923606872559,1643.805419921875,4.398392677307129
91,6.565422058105469,2136.8017578125,5.717672348022461
92,5.6772308349609375,1719.1654052734375,4.326263427734375
93,6.020257472991943,1757.325927734375,4.6023969650268555
94,7.3461012840271,2025.3477783203125,5.332101345062256
95,5.959683895111084,1641.550537109375,4.408390998840332
96,5.484107971191406,2145.0390625,4.304841041564941
97,5.925601482391357,1832.1414794921875,4.88885498046875
98,6.7803635597229,2659.800048828125,7.023289680480957
99,5.887521266937256,1984.5517578125,5.291933059692383
100,5.733065128326416,1639.90625,4.400907039642334
101,5.345979690551758,1878.9195556640625,5.028072834014893
102,5.068585395812988,1981.625244140625,5.283119201660156
103,6.933415412902832,2168.51171875,5.793513774871826
104,5.820477485656738,1879.5985107421875,5.0074567794799805
105,5.519347190856934,2206.08837890625,5.882099151611328
106,4.745323181152344,1906.871337890625,5.0871782302856445
107,5.935981750488281,1642.3544921875,4.409026145935059
108,6.526579856872559,1754.6363525390625,4.498847007751465
109,5.72307014465332,2439.50048828125,6.4228363037109375
110,4.793731689453125,1829.6236572265625,4.703938961029053
111,5.467284679412842,1613.642333984375,4.304731369018555
112,5.777867317199707,2171.423095703125,5.769174575805664
113,6.823016166687012,1903.975830078125,5.1132402420043945
114,6.428126335144043,2179.75927734375,5.8216938972473145
115,5.490148544311523,1830.4686279296875,4.935153007507324
116,4.882404804229736,1716.6204833984375,4.630222797393799
117,5.621869087219238,1718.125,4.606906414031982
118,5.419818878173828,2018.582275390625,5.401242733001709
119,6.135910987854004,1950.19775390625,5.003584384918213
120,6.233606338500977,1603.9110107421875,4.340911388397217
121,6.286507606506348,1680.191162109375,4.538500785827637
122,5.86146879196167,1843.6817626953125,5.014411926269531
123,6.145689487457275,1642.39697265625,4.414936542510986
124,6.086431503295898,1679.866455078125,4.50047492980957
125,5.061952590942383,1803.766845703125,4.602933406829834
126,5.667953014373779,1718.0810546875,4.583064556121826
127,6.017871379852295,2219.1005859375,5.227399826049805
128,4.691649436950684,2169.778564453125,5.786243915557861
129,5.537600994110107,1793.385009765625,4.824444770812988
130,5.3566412925720215,1877.5257568359375,5.0193610191345215
131,5.4594407081604,1719.2772216796875,4.619870185852051
132,5.764556884765625,3086.63525390625,8.219042778015137
133,5.894444942474365,1905.25390625,4.311407089233398
134,5.783641815185547,2058.979248046875,5.496403217315674
135,5.4917521476745605,1948.9945068359375,5.239475727081299
136,5.810225486755371,1719.2020263671875,4.60364294052124
137,5.47055721282959,1835.950439453125,4.932958602905273
138,5.968911647796631,2024.82421875,5.387729167938232
139,5.494808673858643,1644.8243408203125,4.377519607543945
140,5.351450443267822,1729.597412109375,4.394896507263184
141,5.739167213439941,1606.2674560546875,4.298940181732178
142,6.150079727172852,1684.733642578125,4.518033981323242
143,5.826816082000732,2226.681640625,5.98495626449585
144,5.570896148681641,2479.821533203125,6.530607223510742
145,5.937253952026367,1800.017333984375,4.8087944984436035
146,6.389482021331787,1719.6783447265625,4.62471866607666
147,5.952231407165527,1757.735595703125,4.686633110046387
148,5.866203308105469,2069.703857421875,5.471792221069336
149,5.6370086669921875,2214.398681640625,5.10151481628418
150,5.988869667053223,1955.955322265625,5.103679180145264
151,6.04610538482666,1682.1561279296875,4.520336151123047
152,5.855616092681885,2246.59521484375,5.975795745849609
153,6.117820739746094,1684.2601318359375,4.558380603790283
154,5.321985244750977,1682.2672119140625,4.432676315307617
155,6.156911849975586,1646.08203125,4.5193562507629395
156,6.060413837432861,1873.3687744140625,4.997084140777588
157,6.023353099822998,1679.086181640625,4.493741512298584
158,5.698248863220215,1720.5291748046875,4.594627857208252
159,5.618870258331299,1996.2615966796875,4.427583694458008
160,4.85735559463501,1984.1649169921875,4.782956123352051
161,5.916522979736328,1880.101318359375,4.99464750289917
162,7.693512439727783,1945.1278076171875,5.182923793792725
163,5.1706767082214355,1755.1943359375,4.706691741943359
164,6.235782146453857,1729.6939697265625,4.635026454925537
165,5.614435195922852,1756.732177734375,4.70684289932251
166,7.289325714111328,1680.917724609375,4.512535572052002
167,4.599008560180664,1689.6768798828125,4.50949764251709
168,6.164815425872803,2211.02490234375,5.945196151733398
169,5.510417938232422,2059.312255859375,5.511442184448242
170,5.542241096496582,1870.0775146484375,4.296656608581543
171,5.864877223968506,1643.313232421875,4.395563125610352
172,6.226072311401367,1842.0386962890625,4.908138751983643
173,6.3484086990356445,2474.523193359375,6.562495708465576
174,5.904372692108154,1985.9588623046875,5.3118672370910645
