image_id,preprocess_ms,forward_ms,post_ms,total_ms
139,12.6,2685.08,0.38,2714.8
285,7.21,2925.08,2.43,2940.43
632,5.23,2921.02,0.21,2930.62
724,3.77,2563.12,0.18,2569.62
776,4.67,2972.67,0.2,2981.24
785,4.17,2620.9,0.21,2628.57
802,5.0,2802.04,0.2,2809.75
872,6.22,3383.98,0.31,3396.27
885,5.14,2794.11,0.3,2802.61
1000,5.44,3266.6,0.2,3277.72
1268,4.22,2670.81,0.19,2678.89
1296,4.42,2731.5,0.22,2739.54
1353,3.86,2729.27,0.2,2735.9
1425,4.86,2677.88,0.24,2685.64
1490,4.14,2779.47,0.19,2786.11
1503,2.9,2904.84,0.26,2909.06
1532,6.35,2664.01,0.22,2674.37
1584,5.62,2554.86,0.2,2565.33
1675,4.48,2721.1,0.19,2728.73
1761,4.51,2737.68,0.18,2745.25
1818,4.22,3017.08,0.21,3024.98
1993,4.55,2962.24,0.16,2969.76
2006,4.51,2964.08,0.19,2972.68
2149,4.34,3008.72,0.19,3016.05
2153,4.74,2617.58,0.25,2626.0
2157,4.08,2719.9,0.19,2727.25
2261,4.31,2660.36,0.18,2668.81
2299,4.28,3068.98,0.2,3075.37
2431,6.08,2659.74,0.16,2669.21
2473,4.07,2611.74,0.19,2618.98
2532,4.53,2723.19,0.16,2731.88
2587,3.59,2550.88,0.17,2557.08
2592,4.34,2487.92,0.18,2495.08
2685,5.02,2546.51,0.18,2557.19
2923,3.6,2956.17,0.22,2962.35
3156,4.95,2897.15,0.19,2905.25
3255,4.25,3370.57,0.26,3378.38
3501,6.31,3012.66,0.2,3022.93
3553,4.13,2904.03,0.19,2911.47
3661,4.74,2719.15,0.16,2727.14
3845,3.58,2953.4,0.17,2960.1
3934,4.65,2724.37,0.17,2732.02
4134,4.81,2669.08,0.2,2677.34
4395,4.33,2832.33,0.16,2839.57
4495,3.57,2833.9,0.16,2840.13
4765,6.03,2900.55,0.18,2911.05
4795,4.45,2601.91,0.16,2610.23
5001,4.45,2551.26,0.18,2559.91
5037,4.91,2780.16,0.15,2788.77
5060,4.48,3188.8,0.19,3197.5
5193,4.34,2894.75,0.2,2902.26
5477,3.94,2954.49,0.18,2961.54
5503,3.52,3132.92,0.23,3138.38
5529,5.44,2661.11,0.18,2670.73
5586,2.81,2894.27,0.16,2898.51
5600,3.85,2718.88,0.18,2725.82
5992,4.55,2954.16,0.2,2962.94
6012,4.38,2661.69,0.19,2670.57
